portOfLading;portOfLadingRegion
Puerto De Sagunto, Spain;Southern Europe
Sarroch Oil Terminal, Italy;Southern Europe
Khor Al Zubair, Iraq;Western Asia
Hull, United Kingdom;Northern Europe
Golfito, Costa Rica;Central America
Thamesport, United Kingdom;Western Europe
Pointe A Pitre, Guadeloupe;Caribbean
Beilun, China;Eastern Asia
Ash Shuaiba, Kuwait;Western Asia
All Other Spain Mediterranean Region Ports, Spain;Southern Europe
Guaranao, Venezuela;South America
Aalborg, Denmark;Northern Europe
All Other Norway Ports, Norway;Northern Europe
Malaga, Spain;Southern Europe
Bintulu, Malaysia;South-Eastern Asia
Zamboanga, Philippines;South-Eastern Asia
Bitung, Indonesia;South-Eastern Asia
Butterworth, Malaysia;South-Eastern Asia
All Other Philippines Ports, Philippines;South-Eastern Asia
Sandakan, Malaysia;South-Eastern Asia
Lahad Datu, Malaysia;South-Eastern Asia
Big Creek, Belize;Central America
Palua, Venezuela;South America
Cayman Brac, Cayman Islands;Caribbean
Ocho Rios, Jamaica;Caribbean
All Other Mexico West Coast Region Ports, Mexico;Central America
Sevilla, Spain;Southern Europe
Yang Shan, China;Eastern Asia
Fawley, United Kingdom;Northern Europe
Funchal, Portugal;Southern Europe
Portsmouth, Dominica;Caribbean
Walvis Bay, Namibia;Southern Africa
Harmac, Bc, Canada;North America
Ilichevsk, Ukraine;Eastern Europe
Aigion, Greece;Western Europe
Coquimbo, Chile;South America
Kerch, Ukraine;Eastern Europe
Riga, Latvia;Northern Europe
Vigo, Spain;Southern Europe
Reykjavik, Iceland;Northern Europe
Noumea, New Caledonia;Melanesia
Ponta Delgada, Portugal;Southern Europe
Wenzhow, China;Eastern Asia
Dadiangas, Philippines;South-Eastern Asia
Aarhus, Denmark;Western Europe
Monfalcone, Italy;Southern Europe
Cadiz, Spain;Western Europe
All Other New Zealand Ports, New Zealand;Australasia
New Westminster, Bc, Canada;North America
Wellington, New Zealand;Australasia
All Other Iceland Ports, Iceland;Northern Europe
Cartagena, Spain;Southern Europe
Ilo, Peru;South America
Hamilton, Ont, Canada;North America
Danzig, Poland;Eastern Europe
Harburg, Germany;Western Europe
Gros Cacouna, Que, Canada;North America
Ensenada, Mexico;North America
Montego Bay, Jamaica;Caribbean
Alger, Algeria;Northern Africa
Tallinn, Estonia;Northern Europe
All Other Congo(Kinshasha) Ports, Congo;Middle Africa
Dunkerque, France;Western Europe
Beira, Mozambique;Eastern Africa
Bahia De Las Calderas, Dominican Republic;Caribbean
Greenock, United Kingdom;Northern Europe
Toronto, Ont, Canada;North America
Malabo, Equatorial Guinea;Middle Africa
Mantyluoto, Finland;Northern Europe
Lisbon, Portugal;Western Europe
Rosario, Argentina;South America
Marsaxlokk, Malta;Southern Europe
Caldera, Chile;South America
All Other Spain Mediterranean Region Ports, Spain;Western Europe
Castellon, Spain;Western Europe
All Other Argentina Ports, Argentina;South America
Castellon, Spain;Southern Europe
Fort Williams, Ont, Canada;North America
Dongfeng, China;Eastern Asia
Kaliningrad, Russia;Eastern Europe
Cadiz, Spain;Southern Europe
Bahia Guanta, Venezuela;South America
Le Verdon, France;Western Europe
Ad Dammam, Saudi Arabia;Western Asia
Mangalore, India;Southern Asia
Punta Cardon, Venezuela;South America
Timaru, New Zealand;Australasia
All Other Costa Rica Caribbean Region Ports, Costa Rica;Central America
Soyo Oil Terminal, Angola;Middle Africa
Lisbon, Portugal;Southern Europe
Kasaoka, Japan;Eastern Asia
Trieste, Italy;Western Europe
Horsens, Denmark;Northern Europe
Port Cartier, Que, Canada;North America
Delfzijl, Netherlands;Western Europe
Tanger, Morocco;Northern Africa
Masset, Bc, Canada;North America
Bella Coola, Bc, Canada;North America
Gladstone, Australia;Australasia
Paranam, Suriname;South America
Bunbury, Australia;Australasia
All Other Suriname Ports, Suriname;South America
Kamsar, Guinea;Western Africa
Oporto, Portugal;Southern Europe
All Other Guinea Ports, Guinea;Western Africa
Matanzas, Venezuela;South America
Forcados, Nigeria;Western Africa
All Other Congo(Brazzaville) Ports, Congo;Middle Africa
